"Country","Species","First Damage cost year","First Management cost year","Tau"
"JPN","Achatina fulica","1985","2020","35"
NA,"Adelges piceae","2002","2020","18"
"USA","Adelges tsugae","1999","2020","21"
"BLZ","Aedes aegypti","2000","1995","-5"
"BOL","Aedes aegypti","2000","1995","-5"
"BRA","Aedes aegypti","2000","2013","13"
"BRN","Aedes aegypti","2001","2020","19"
"BTN","Aedes aegypti","2001","2020","19"
"CAN","Aedes aegypti","2000","2020","20"
"CHL","Aedes aegypti","2000","1995","-5"
"CHN","Aedes aegypti","1998","2020","22"
"ECU","Aedes aegypti","2000","1995","-5"
"FRA","Aedes aegypti","2000","2013","13"
"GTM","Aedes aegypti","2000","1995","-5"
"IDN","Aedes aegypti","2001","2011","10"
"IND","Aedes aegypti","2009","2003","-6"
"KHM","Aedes aegypti","2009","2001","-8"
"LAO","Aedes aegypti","2001","2020","19"
"MEX","Aedes aegypti","2011","2008","-3"
"MMR","Aedes aegypti","2001","2020","19"
"MYS","Aedes aegypti","2001","2002","1"
"PER","Aedes aegypti","2000","1995","-5"
"PHL","Aedes aegypti","2001","2013","12"
"PRY","Aedes aegypti","2000","1995","-5"
"SGP","Aedes aegypti","2010","2000","-10"
"SUR","Aedes aegypti","2000","2020","20"
"THA","Aedes aegypti","1998","1981","-17"
"TLS","Aedes aegypti","2001","2020","19"
"URY","Aedes aegypti","2000","1995","-5"
"USA","Aedes aegypti","1990","1977","-13"
"VEN","Aedes aegypti","1997","2020","23"
"VNM","Aedes aegypti","2001","1998","-3"
NA,"Aedes aegypti","2000","2020","20"
"ARG","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"BRA","Aedes aegypti/Aedes albopictus","2000","1984","-16"
"COL","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"CRI","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"DOM","Aedes aegypti/Aedes albopictus","2011","2020","9"
"HND","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"MEX","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"NIC","Aedes aegypti/Aedes albopictus","1996","2020","24"
"PAN","Aedes aegypti/Aedes albopictus","2000","2020","20"
"SLV","Aedes aegypti/Aedes albopictus","2000","1995","-5"
"USA","Aedes aegypti/Aedes albopictus","2000","2020","20"
"VEN","Aedes aegypti/Aedes albopictus","1997","2007","10"
NA,"Aedes aegypti/Aedes albopictus","2000","2020","20"
"FRA","Aedes albopictus","2006","2008","2"
"ITA","Aedes albopictus","2007","2008","1"
"USA","Aedes albopictus/Aedes japonicus","1960","2020","60"
"SWE","Aeromonas salmonicida","2006","2020","14"
"RUS","Agrilus planipennis","2010","2020","10"
"USA","Agrilus planipennis","1992","2002","10"
"NLD","Alopochen aegyptiaca","2002","2020","18"
"AUS","Alternanthera philoxeroides","1960","2001","41"
"AUS","Amaranthus mitchellii","2014","2020","6"
"ALB","Ambrosia artemisiifolia","2011","2020","9"
"AUS","Ambrosia artemisiifolia","2004","2020","16"
"AUT","Ambrosia artemisiifolia","2011","2020","9"
"BGR","Ambrosia artemisiifolia","2011","2020","9"
"BIH","Ambrosia artemisiifolia","2011","2020","9"
"BLR","Ambrosia artemisiifolia","2011","2020","9"
"CHE","Ambrosia artemisiifolia","2011","2020","9"
"CHN","Ambrosia artemisiifolia","2000","2020","20"
"CZE","Ambrosia artemisiifolia","2011","2020","9"
"DEU","Ambrosia artemisiifolia","2003","2020","17"
"DNK","Ambrosia artemisiifolia","2011","2020","9"
"ESP","Ambrosia artemisiifolia","2011","2020","9"
"FIN","Ambrosia artemisiifolia","2011","2020","9"
"FRA","Ambrosia artemisiifolia","2008","2010","2"
"GRC","Ambrosia artemisiifolia","2011","2020","9"
"HRV","Ambrosia artemisiifolia","2011","2020","9"
"HUN","Ambrosia artemisiifolia","2011","2020","9"
"ITA","Ambrosia artemisiifolia","2011","2020","9"
"MDA","Ambrosia artemisiifolia","2011","2020","9"
"MKD","Ambrosia artemisiifolia","2011","2020","9"
"MNE","Ambrosia artemisiifolia","2011","2020","9"
"NOR","Ambrosia artemisiifolia","2011","2020","9"
"POL","Ambrosia artemisiifolia","2011","2020","9"
"PRT","Ambrosia artemisiifolia","2011","2020","9"
"ROU","Ambrosia artemisiifolia","2011","2020","9"
"RUS","Ambrosia artemisiifolia","2011","2020","9"
"SRB","Ambrosia artemisiifolia","2011","2020","9"
"SVK","Ambrosia artemisiifolia","2011","2020","9"
"SVN","Ambrosia artemisiifolia","2011","2020","9"
"SWE","Ambrosia artemisiifolia","2006","2020","14"
"TUR","Ambrosia artemisiifolia","2011","2020","9"
"UKR","Ambrosia artemisiifolia","2011","2008","-3"
"FRA","Ambrosia polystachya","2008","2020","12"
"NLD","Ambrosia spp.","2009","2020","11"
"AUS","Amsinckia spp.","2014","2020","6"
"CAN","Anoplophora glabripennis","2002","2003","1"
"USA","Apis mellifera","1995","2020","25"
"SWE","Arion lusitanicus","2006","2020","14"
"SWE","Artemisia vulgaris","2006","2020","14"
NA,"Bactrocera dorsalis","2012","2020","8"
"AUS","Bactrocera philippinensis","1993","2008","15"
"USA","Bemisca tabaci","1991","2020","29"
"MEX","Bemisia tabaci","1992","2020","28"
"USA","Bemisia tabaci","1992","2020","28"
"VNM","Brontispa longissima","2016","2020","4"
"CHN","Bursaphelenchus mucronatus","1982","2020","38"
"JPN","Callosciurus erythraeus","2001","2020","19"
"MEX","Candidatus liberibacter","2010","2020","10"
"USA","Canis lupus","2000","1979","-21"
"AUS","Canis lupus/Vulpes vulpes","2009","2003","-6"
"AUS","Capra aegagrus hircus","1988","1998","10"
"AUS","Capra hircus","1986","1993","7"
"CAN","Carcinus maenas","2000","2020","20"
"AUS","Carduus platypus","2006","1986","-20"
"AUS","Carduus pycnocephalus/Carduus tenuiflorus","2006","2020","14"
"CHL","Castor canadensis","2016","2020","4"
"COL","Cenchrus clandestinus","2009","2020","11"
"CHN","Cenchrus spinifex","2009","2020","11"
"CAN","Centaurea affinis","1996","2020","24"
"USA","Centaurea affinis","2012","2020","8"
"CAN","Centaurea diffusa","1972","1976","4"
"USA","Centaurea diffusa","2012","2020","8"
"USA","Centaurea diffusa/Centaurea affinis/Rhaponticum repens","1994","2020","26"
"USA","Centaurea moncktonii","2012","2020","8"
"USA","Centaurea solstitialis","1980","2020","40"
"AUS","Cervus sp.","2007","2020","13"
"CAN","Ceutorhynchus obstrictus","2002","2020","18"
"AUS","Chenopodium spp.","2014","2020","6"
"ETH","Chilo partellus","2009","2020","11"
"KEN","Chilo partellus","2009","2020","11"
"MWI","Chilo partellus","2009","2020","11"
"TZA","Chilo partellus","2009","2020","11"
"UGA","Chilo partellus","2009","2020","11"
"AUS","Chondrilla juncea","1976","1996","20"
"USA","Chondrilla juncea","2012","2020","8"
"CAN","Ciona intestinalis","2009","2020","11"
"NZL","Cirsium arvense","2011","2020","9"
"AUS","Cochliomyia hominivorax","2018","2020","2"
"USA","Cochliomyia hominivorax","1990","2020","30"
"CAN","Codium fragile","2002","2020","18"
"GBR","Columba livia","2001","2020","19"
"USA","Coptotermes formosanus","1990","1985","-5"
"PRT","Corbicula fluminea","2011","2020","9"
"USA","Corbicula fluminea","1980","2020","40"
"CAN","Cronartium ribicola","2002","2020","18"
"NLD","Culicoides imicola","2007","2020","13"
"AUS","Curcumis spp.","2014","2020","6"
"RUS","Cydalima perspectalis","2014","2020","6"
"CHN","Cydia pomonella","1992","2020","28"
"AUS","Cyperus rotundus","2014","2020","6"
"AUS","Cyprinus carpio","1992","1962","-30"
"USA","Cytisus scoparius","2012","2020","8"
"GBR","Dama dama/Cervus nippon/Muntiacus reevesi","2010","2020","10"
"GBR","Dama dama/Cervus nippon/Muntiacus reevesi/Hydropotes inermis","2010","2020","10"
"CAN","Delia spp.","1995","2020","25"
"AUS","Dicyrtomina ornata","2006","2020","14"
"NZL","Didymosphenia geminata","2008","2020","12"
"ITA","Dikerogammarus villosus","2005","2020","15"
"AUS","Diplotaxus tenuifolia","2014","2020","6"
"USA","Diuraphis noxia","1986","2020","34"
"AUS","Diverse/Unspecified","1983","1985","2"
"BRA","Diverse/Unspecified","2004","2020","16"
"CAN","Diverse/Unspecified","2000","2002","2"
"CIV","Diverse/Unspecified","2002","2020","18"
"HUN","Diverse/Unspecified","2012","2020","8"
"IND","Diverse/Unspecified","1988","1998","10"
"NZL","Diverse/Unspecified","2009","1984","-25"
"USA","Diverse/Unspecified","2018","1990","-28"
NA,"Diverse/Unspecified","2009","2020","11"
"GBR","Dothistroma septosporum","2010","2020","10"
"USA","Dreissena polymorpha","1987","1990","3"
"USA","Dreissena polymorpha/Dreissena bugensis","1988","2009","21"
NA,"Dreissena polymorpha/Dreissena bugensis","1989","2020","31"
"ITA","Drosophila suzukii","2011","2012","1"
"USA","Drosophila suzukii","2009","2013","4"
"CHN","Eichhornia crassipes","2012","2006","-6"
"COL","Eichhornia crassipes","2011","2010","-1"
"COL","Elaeis guineensis","2009","2020","11"
"GBR","Elatobium abietinum","2010","2020","10"
"GBR","Elodea spp./Lagarosiphon spp.","2010","2020","10"
"AUS","Emex australis/Emex spinosa","1980","2020","40"
"USA","Eoreuma loftini","1997","2020","23"
"USA","Equus asinus/Equus caballus","2000","2020","20"
"GBR","Eriocheir sinensis/Pacifastacus leniusculus/Pseudorasbora parva","2010","2020","10"
"AUS","Erodium cicutarium","2014","2020","6"
"CHN","Eupatorium adenophorum","1997","2020","23"
"USA","Euphorbia esula","1989","1985","-4"
"MEX","Euwallacea sp.","2017","2020","3"
"AUS","Felis catus","2019","1998","-21"
"USA","Felis catus","2000","2010","10"
NA,"Felis catus","2011","2020","9"
"FRA","Ficopomatus enigmaticus","2005","2011","6"
"AUS","Galium spp.","2014","2020","6"
"PRT","Gonipterus platensis","1996","2020","24"
"CAN","Gremmeniella abietina","2002","2020","18"
"NOR","Gyrodactylus salaris","1977","2020","43"
"CAN","Haematobia irritans","2002","2020","18"
"AUS","Halotydeus destructor","1994","2006","12"
"ITA","Halyomorpha halys","2017","2020","3"
"USA","Halyomorpha halys","1997","2020","23"
"AUS","Heliotropium europaeum","2014","1973","-41"
"CHN","Hemiberlesia pitysophila","1991","2020","29"
"USA","Herpestes edwardsi","2000","2020","20"
"JPN","Herpestes javanicus","1998","2014","16"
"USA","Hieracium spp.","2012","2020","8"
"AUS","Hypericum perforatum","1970","1995","25"
"CHN","Hyphantria cunea","1986","2020","34"
"IND","Hypothenemus hampei","2000","2020","20"
"USA","Iguana iguana","2008","2020","12"
"AUS","Ipomoea plebeia","2014","2020","6"
"TUR","Lagocephalus sceleratus","2011","2020","9"
"AUS","Lamium maculatum","2014","2020","6"
"ZWE","Lantana camara","2017","2020","3"
"USA","Lepidium draba","2012","2020","8"
"USA","Lepidium latifolium","2012","2020","8"
"JPN","Lepomis macrochirus","2003","2014","11"
"USA","Linaria dalmatica","2012","2020","8"
"CHN","Liriomyza sativae","2002","2020","18"
"KEN","Liriomyza spp.","2009","2020","11"
"TZA","Liriomyza spp.","2009","2020","11"
"UGA","Liriomyza spp.","2009","2020","11"
"NZL","Listronotus bonariensis","1991","2020","29"
"USA","Lythrum salicaria","2012","2020","8"
"GRD","Maconellicoccus hirsutus","2003","2004","1"
"ETH","Maize lethal necrosis","2009","2020","11"
"KEN","Maize lethal necrosis","2009","2020","11"
"RWA","Maize lethal necrosis","2009","2020","11"
"TZA","Maize lethal necrosis","2009","2020","11"
"UGA","Maize lethal necrosis","2009","2020","11"
"AUS","Malva parviflora","2014","2020","6"
"AUS","Marrubium vulgare","2006","1996","-10"
"CHN","Matsucoccus matsumurae","1981","2020","39"
"AUS","Megathyrsus maximus","2014","2020","6"
"JPN","Micropterus salmoides","2005","2003","-2"
"CHN","Mikania micrantha","2013","2020","7"
"JPN","Muntiacus reevesi","2005","2020","15"
"AUS","Mus musculus","1989","2009","20"
NA,"Mus musculus/Rattus norvegicus","2011","2020","9"
"GBR","Myiopsitta monachus/Psittacula krameri","2010","2020","10"
"ITA","Myocastor coypus","2001","1995","-6"
"JPN","Myocastor coypus","2000","2020","20"
"USA","Myocastor coypus","2001","2020","19"
"CHL","Neovison vison","2016","2020","4"
"GBR","Neovison vison","1990","2010","20"
"JPN","Nilaparvata lugens","2013","2020","7"
"CHN","Oligonychus metasequoia","1992","2020","28"
"DEU","Ondatra zibethicus","1996","2003","7"
"USA","Onopordum acanthium","2012","2020","8"
"AUS","Onopordum spp.","2017","2020","3"
"DEU","Ophiostoma ulmi","2003","2020","17"
"AUS","Opuntia spp.","1960","2020","60"
NA,"Opuntia stricta","2008","2020","12"
"USA","Orconectes rusticus","2008","2020","12"
"AUS","Oryctolagus cuniculus","2014","1987","-27"
"CHL","Oryctolagus cuniculus","2016","2020","4"
"DEU","Oryctolagus cuniculus","1970","2020","50"
"JPN","Paguma larvata","1965","2020","55"
"AUS","Parthenium hysterophorus","1970","1975","5"
"ETH","Parthenium hysterophorus","2009","2020","11"
"KEN","Parthenium hysterophorus","2009","2020","11"
"TZA","Parthenium hysterophorus","2009","2020","11"
"UGA","Parthenium hysterophorus","2009","2020","11"
"NZL","Passer domesticus","1968","2020","52"
"AUS","Pelargonium alchemilloides","2014","2020","6"
"AUS","Penthaleus major","2006","2020","14"
"CAN","Petromyzon marinus","1980","2020","40"
"DEU","Phasianus colchicus","1978","2020","42"
"JPN","Phasianus colchicus","2013","2020","7"
"AUS","Phyla nodiflora","2003","2020","17"
"NZL","Pilosella sp.","1988","2020","32"
"MEX","Polydora spp.","2014","2020","6"
"AUS","Polygonum aviculare","2014","2020","6"
"PHL","Pomacea canaliculata","1980","2020","40"
NA,"Pomacea canaliculata","2011","2020","9"
"ESP","Procambarus clarkii","2012","2007","-5"
"PRT","Procambarus clarkii","2004","2020","16"
"JPN","Procyon lotor","1995","2014","19"
"NAM","Prosopis sp.","2017","2020","3"
"AUS","Prosopis spp.","2006","1995","-11"
"NOR","Pseudochattonella verruculosa","2001","2020","19"
"NLD","Psittacula krameri","2011","2020","9"
"PAK","Psittacula krameri","1978","2020","42"
"GBR","Psittacula krameri/Myiopsitta monachus","2010","2020","10"
"COL","Pteridium aquilinum","2009","2020","11"
"JAM","Pterois volitans","1980","2020","40"
"JPN","Pycnonotus sinensis","2013","2020","7"
"NZL","Ranunculus acris","2002","2020","18"
"CHN","Rattus norvegicus","2000","2020","20"
"AUS","Rattus rattus","1998","2020","22"
"JPN","Rattus rattus","2011","2014","3"
"USA","Rattus rattus","2005","2012","7"
"USA","Rattus sp.","1990","2001","11"
NA,"Rattus sp.","2004","2020","16"
"AUS","Reseda lutea","2014","2020","6"
"USA","Reynoutria japonica","2012","2018","6"
"GBR","Reynoutria japonica/Azolla filiculoides/Crassula helmsii/Hydrocotyle ranunculoides/Elodea canadensis/Elodea nuttallii/Lagarosiphon major/Myriophyllum aquaticum/Impatiens glandulifera/Heracleum mantegazzianum","2010","2020","10"
"USA","Rhipicephalus microplus","2007","2020","13"
"ISR","Rhopilema nomadica","2001","2020","19"
"USA","Rubus armeniacus","2012","2020","8"
"CHL","Rubus ulmifolius/Rubus constrictus","2016","2020","4"
"AUS","Rumex spp.","1975","2020","45"
"NZL","Sabella spallanzanii","1994","2020","26"
"IND","Schistocerca gregaria","1960","2020","60"
"USA","Scirtothrips perseae","2003","2020","17"
"USA","Sciurus aureogaster","1977","2007","30"
"USA","Senecio jacobaea","2012","1974","-38"
"AUS","Senecio madagascariensis","2005","2020","15"
"NZL","Setaria helvola","2014","2020","6"
"AUS","Sida acuta/Sida rhombifolia","2005","2006","1"
"USA","Solenopsis invicta","1975","1996","21"
"USA","Spartina spp.","2012","2004","-8"
"FJI","Spathodea campanulata","2012","2020","8"
"BEN","Spodoptera frugiperda","2018","2020","2"
"CMR","Spodoptera frugiperda","2018","2020","2"
"COD","Spodoptera frugiperda","2018","2020","2"
"ETH","Spodoptera frugiperda","2018","2017","-1"
"GHA","Spodoptera frugiperda","2018","2017","-1"
"IND","Spodoptera frugiperda","2019","2020","1"
"MOZ","Spodoptera frugiperda","2018","2020","2"
"MWI","Spodoptera frugiperda","2018","2020","2"
"NGA","Spodoptera frugiperda","2018","2020","2"
"TZA","Spodoptera frugiperda","2018","2020","2"
"UGA","Spodoptera frugiperda","2018","2020","2"
"ZMB","Spodoptera frugiperda","2018","2020","2"
"ZWE","Spodoptera frugiperda","2018","2020","2"
NA,"Spodoptera frugiperda","2017","2020","3"
"CHN","Sporobolus alterniflorus","1993","2002","9"
"CHN","Sporobolus anglicus/Sporobolus alterniflorus","2007","2020","13"
"AUS","Stellaria media","2014","2020","6"
"PHL","Sternochetus frigidus","1990","2020","30"
"CAN","Stomoxys calcitrans","2002","2020","18"
"ARG","Sturnus vulgaris","2016","2020","4"
"USA","Sturnus vulgaris","2000","2020","20"
"CAN","Styela clava","2006","2020","14"
"NZL","Styela clava","1994","2020","26"
"AUS","Sus scrofa","1979","1984","5"
"BRA","Sus scrofa","2015","2020","5"
"CHL","Sus scrofa","2016","2020","4"
"USA","Sus scrofa","2007","1990","-17"
"CAN","Synchytrium endobioticum","2001","2020","19"
"ARG","Tamarix sp.","2016","2020","4"
"USA","Tamarix sp.","1998","2020","22"
"USA","Tamarix spp.","1960","1998","38"
"DEU","Teredo navalis","2000","2020","20"
"USA","Teredo navalis","1993","2020","27"
"CHN","Tilapia sp.","2019","2020","1"
"AUS","Tribulus terrestris","2014","2020","6"
"BEN","Tuta absoluta","2018","2020","2"
"ETH","Tuta absoluta","2009","2020","11"
"KEN","Tuta absoluta","2009","2020","11"
"MLI","Tuta absoluta","2018","2020","2"
"MOZ","Tuta absoluta","2018","2020","2"
"MWI","Tuta absoluta","2018","2020","2"
"NER","Tuta absoluta","2018","2020","2"
"NGA","Tuta absoluta","2018","2020","2"
"NPL","Tuta absoluta","2020","2020","0"
"RWA","Tuta absoluta","2018","2020","2"
"SEN","Tuta absoluta","2018","2020","2"
"TZA","Tuta absoluta","2009","2020","11"
"UGA","Tuta absoluta","2009","2020","11"
"ZMB","Tuta absoluta","2018","2020","2"
"USA","Ulex europaeus","2012","2020","8"
"NZL","Varroa jacobsoni","2005","2020","15"
"NZL","Vespula spp","2015","2020","5"
"AUS","Vicia spp.","2014","2020","6"
"MEX","WSSV","2005","2020","15"
"AUS","Xanthium occidentale","1992","2020","28"
"AUS","Xanthium spinosum","2014","2020","6"
"AUS","Xanthium strumarium","2014","1992","-22"
"USA","Xylella fastidiosa","2014","1999","-15"
"EGY","Zeuzera pyrina","2006","2020","14"
